Condition,Rarity,Typical Minimum Age,Typical Maximum Age,Gender,Symptom 1,Symptom 2,Symptom 3,Symptom 4,Symptom 5,Symptom 6,Symptom 7,Symptom 8,Symptom 9,Symptom 10,Symptom 11,Symptom 12,Symptom 13,Symptom 14,Symptom 15,,,,,,,,,,
Abdominal Actinomycosis,Rare,20,60,both,Abdominal Pain,Fever,Weight loss,abdominal swelling,Gastrointestinal symptoms (diarrhea,constipation,nausea,vomiting,changes in bowel habits),Fatigue,Abscesses,Fistulas,,,,,,,,,,,,,
Abdominal Colic,Common,0,100,both,Abdominal cramping,Sharp or intermittent pain,Nausea,Vomiting,Bloating,Distended abdomen,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abnormal Uterine Bleeding,Common,15,55,female,Irregular menstrual bleeding,Excessive menstrual bleeding,Bleeding between periods,Menstrual periods that last longer than usual,Menstrual bleeding that is accompanied by severe cramping or pelvic pain.,,,,,,,,,,,,,,,,,,,,
Abnormal Uterine Bleeding Due To Hormonal Imbalance,Common,20,50,female,Irregular menstrual bleeding,Excessive menstrual bleeding,Bleeding between periods,Menstrual periods that last longer than usual,Menstrual bleeding that is accompanied by severe cramping or pelvic pain.,,,,,,,,,,,,,,,,,,,,
,,,,,,Cramping and Abdominal Pain,Passage of tissue or clots from the vagina.,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Chills,Pelvic pain or cramping,Vaginal bleeding,"Foul,smelling vaginal discharge.",,,,,,,,,,,,,,,,,,,,
Absence Epilepsy,Uncommon,2,14,both,"Brief episodes of staring or ""absence"" without memory loss",Twitching or jerking movements of the lips,Brief loss of awareness,"Involuntary movements such as lip,smacking or blinking",Involuntary blinking or spasms of the eyelids,,,,,,,,,,,,,,,,,,,,
Absence Epilepsy With Multiple Seizure Types,Uncommon,2,14,both,Seizures,,,,,,,,,,,,,,,,,,,,,,,,
Accelerated Phase Chronic Myelocytic Leukemia,Rare,40,70,both,Fatigue,Weight loss,Night sweats,Fever,Abdominal fullness,,,,,,,,,,,,,,,,,,,,
Accelerated Phase Philadelphia Chromosome Positive Chronic Myelocytic Leukemia,Very rare,30,70,both,Fatigue,Weight loss,Night sweats,Fever,Abdominal fullness,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acetaminophen Overdose,Common,10,70,both,Nausea,Vomiting,Abdominal Pain,Loss of appetite,Yellowing of the skin and eyes (jaundice),Confusion,Sweating,Coma,,,,,,,,,,,,,,,,,
Achalasia Of Esophagus,Rare,20,60,both,Difficulty swallowing,Regurgitation of food,Chest pain,Heartburn,Coughing,Hoarseness,,,,,,,,,,,,,,,,,,,
Acinetobacter Meningitis,Very rare,1,70,both,Fever,Headache,Stiff neck,Nausea,Vomiting,Sensitivity to light (photophobia),Confusion,Seizures,,,,,,,,,,,,,,,,,
Acinetobacter Pneumonia,Rare,1,70,both,Fever,Chills,Coughing,Shortness of breath,Chest pain,Rapid breathing,Fatigue,Confusion,,,,,,,,,,,,,,,,,
Acne Rosacea,Common,30,60,both,Facial redness,Swelling and redness of the skin,Visible blood vessels,Pimples,eye redness,irritation,watery or bloodshot eyes,,Bumps,,,,,,,,,,,,,,,,
Acne Rosacea Keratitis,Rare,30,60,both,Facial redness,Swelling and redness of the skin,Visible blood vessels,Pimples,eye redness,irritation,watery or bloodshot eyes,eye redness,irritation,Sensitivity to light (photophobia),Bumps,,,,,,,,,,,,,,
Acne Vulgaris,Common,10,30,both,Pimples,Blackheads,Whiteheads,Papules,Pustules,Cysts,Nodules,,,,,,,,,,,,,,,,,,
